Age,Deuterium,Temperature
18769.0117,-438.2,-8.84
18815.0078,-446,-10.12
18862.0254,-441.3,-9.34
18907.8262,-435.8,-8.44
18952.5684,-447.9,-10.43
19001.1602,-444.6,-9.89
19048.7832,-436.3,-8.52
19093.1367,-442.5,-9.54
19139.2227,-441.3,-9.34
19184.8809,-432,-7.81
19225.7441,-442.6,-9.55
19271.8945,-438.7,-8.91
19317.1797,-445.1,-9.96
19364.7051,-440.2,-9.16
19411.0977,-443.8,-9.75
19458.4141,-443,-9.62
19506.418,-446.5,-10.19
19555.1719,-441.5,-9.37
19602.9258,-446.5,-10.19
19652.002,-444.9,-9.93
19700.2168,-438.9,-8.94
19745.5742,-438.3,-8.84
19789.5312,-436.4,-8.53
19833.9238,-442.4,-9.51
19880.9395,-448,-10.43
19930.5176,-444.2,-9.81
19979.2168,-441.7,-9.4
