Southern Oscillation Index (SOI),,
Date,Year,Value
200812,2008.916667,1.4
200901,2009,1.1
200902,2009.083333,1.9
200903,2009.166667,0.4
200904,2009.25,0.8
200905,2009.333333,-0.1
200906,2009.416667,0.1
200907,2009.5,0.2
200908,2009.583333,-0.2
200909,2009.666667,0.3
200910,2009.75,-1.2
200911,2009.833333,-0.6
200912,2009.916667,-0.7
201001,2010,-1.1
201002,2010.083333,-1.5
201003,2010.166667,-0.7
201004,2010.25,1.2
201005,2010.333333,0.9
201006,2010.416667,0.4
201007,2010.5,1.8
201008,2010.583333,1.8
201009,2010.666667,2.2
201010,2010.75,1.7
201011,2010.833333,1.3
201012,2010.916667,2.9
201101,2011,2.3
201102,2011.083333,2.7
201103,2011.166667,2.5
201104,2011.25,1.9
201105,2011.333333,0.4
201106,2011.416667,0.2
201107,2011.5,1
201108,2011.583333,0.4
201109,2011.666667,1
201110,2011.75,0.8
201111,2011.833333,1.1
201112,2011.916667,2.5
201201,2012,1.1
201202,2012.083333,0.5
201203,2012.166667,0.7
201204,2012.25,-0.3
201205,2012.333333,0
201206,2012.416667,-0.4
201207,2012.5,0
201208,2012.583333,-0.2
201209,2012.666667,0.2
201210,2012.75,0.3
201211,2012.833333,0.3
201212,2012.916667,-0.6
201301,2013,-0.1
201302,2013.083333,-0.2
201303,2013.166667,1.5
201304,2013.25,0.2
201305,2013.333333,0.8
201306,2013.416667,1.2
201307,2013.5,0.8
201308,2013.583333,0.2
201309,2013.666667,0.3
201310,2013.75,-0.1
201311,2013.833333,0.7
201312,2013.916667,0.1
201401,2014,1.4
201402,2014.083333,0.1
201403,2014.166667,-0.9
201404,2014.25,0.8
201405,2014.333333,0.5
201406,2014.416667,0.2
201407,2014.5,-0.2
201408,2014.583333,-0.7
201409,2014.666667,-0.7
201410,2014.75,-0.6
201411,2014.833333,-0.9
201412,2014.916667,-0.6
201501,2015,-0.8
201502,2015.083333,0.2
201503,2015.166667,-0.7
201504,2015.25,0
201505,2015.333333,-0.7
201506,2015.416667,-0.6
201507,2015.5,-1.1
201508,2015.583333,-1.4
201509,2015.666667,-1.6
201510,2015.75,-1.7
201511,2015.833333,-0.5
201512,2015.916667,-0.6
201601,2016,-2.2
201602,2016.083333,-2
201603,2016.166667,-0.1
201604,2016.25,-1.2
201605,2016.333333,0.4
201606,2016.416667,0.6
201607,2016.5,0.4
201608,2016.583333,0.7
201609,2016.666667,1.2
201610,2016.75,-0.3
201611,2016.833333,-0.1
201612,2016.916667,0.3
201701,2017,0.2
201702,2017.083333,-0.1
201703,2017.166667,0.9
201704,2017.25,-0.2
201705,2017.333333,0.3
201706,2017.416667,-0.4
201707,2017.5,0.8
201708,2017.583333,0.5
201709,2017.666667,0.6
201710,2017.75,0.9
201711,2017.833333,0.9
201712,2017.916667,-0.1
201801,2018,1.1
201802,2018.083333,-0.5
201803,2018.166667,1.5
201804,2018.25,0.5
201805,2018.333333,0.4
201806,2018.416667,-0.1
201807,2018.5,0.2
201808,2018.583333,-0.3
201809,2018.666667,-0.9
201810,2018.75,0.4
201811,2018.833333,-0.1
201812,2018.916667,1
201901,2019,0
201902,2019.083333,-1.4
201903,2019.166667,-0.3
201904,2019.25,0.1
201905,2019.333333,-0.4
201906,2019.416667,-0.5
201907,2019.5,-0.4
201908,2019.583333,-0.1
201909,2019.666667,-1.2
201910,2019.75,-0.4
201911,2019.833333,-0.8
201912,2019.916667,-0.6
